"Clave de la
Entidad
Federativa",Entidad Federativa,"Clave del
Municipio",Municipio,"Atención
Especial"
01,AGUASCALIENTES,001,AGUASCALIENTES,1
01,AGUASCALIENTES,002,ASIENTOS,1
01,AGUASCALIENTES,003,CALVILLO,1
01,AGUASCALIENTES,005,JESUS MARIA,1
01,AGUASCALIENTES,007,RINCON DE ROMOS,1
01,AGUASCALIENTES,009,TEPEZALA,1
02,BAJA CALIFORNIA,001,ENSENADA,1
02,BAJA CALIFORNIA,002,MEXICALI,1
02,BAJA CALIFORNIA,003,TECATE,1
02,BAJA CALIFORNIA,004,TIJUANA,1
02,BAJA CALIFORNIA,005,PLAYAS DE ROSARITO,1
03,BAJA CALIFORNIA SUR,001,COMONDU,1
03,BAJA CALIFORNIA SUR,002,MULEGE,1
03,BAJA CALIFORNIA SUR,003,LA PAZ,1
03,BAJA CALIFORNIA SUR,008,LOS CABOS,1
03,BAJA CALIFORNIA SUR,009,LORETO,1
04,CAMPECHE,001,CALKINI,1
04,CAMPECHE,002,CAMPECHE,1
04,CAMPECHE,003,CARMEN,1
04,CAMPECHE,004,CHAMPOTON,1
04,CAMPECHE,005,HECELCHAKAN,1
04,CAMPECHE,006,HOPELCHEN,1
04,CAMPECHE,007,PALIZADA,1
04,CAMPECHE,008,TENABO,1
04,CAMPECHE,009,ESCARCEGA,1
04,CAMPECHE,010,CALAKMUL,1
04,CAMPECHE,011,CANDELARIA,1
05,COAHUILA DE ZARAGOZA,002,ACUÑA,1
05,COAHUILA DE ZARAGOZA,004,ARTEAGA,1
05,COAHUILA DE ZARAGOZA,006,CASTAÑOS,1
05,COAHUILA DE ZARAGOZA,007,CUATRO CIENEGAS,1
05,COAHUILA DE ZARAGOZA,009,FRANCISCO I. MADERO,1
05,COAHUILA DE ZARAGOZA,010,FRONTERA,1
05,COAHUILA DE ZARAGOZA,011,GENERAL CEPEDA,1
05,COAHUILA DE ZARAGOZA,012,GUERRERO,1
05,COAHUILA DE ZARAGOZA,014,JIMENEZ,1
05,COAHUILA DE ZARAGOZA,017,MATAMOROS,1
05,COAHUILA DE ZARAGOZA,018,MONCLOVA,1
05,COAHUILA DE ZARAGOZA,019,MORELOS,1
05,COAHUILA DE ZARAGOZA,020,MUZQUIZ,1
05,COAHUILA DE ZARAGOZA,021,NADADORES,1
05,COAHUILA DE ZARAGOZA,022,NAVA,1
05,COAHUILA DE ZARAGOZA,024,PARRAS,1
05,COAHUILA DE ZARAGOZA,025,PIEDRAS NEGRAS,1
05,COAHUILA DE ZARAGOZA,027,RAMOS ARIZPE,1
05,COAHUILA DE ZARAGOZA,028,SABINAS,1
05,COAHUILA DE ZARAGOZA,030,SALTILLO,1
05,COAHUILA DE ZARAGOZA,031,SAN BUENAVENTURA,1
05,COAHUILA DE ZARAGOZA,032,SAN JUAN DE SABINAS,1
05,COAHUILA DE ZARAGOZA,033,SAN PEDRO,1
05,COAHUILA DE ZARAGOZA,034,SIERRA MOJADA,1
05,COAHUILA DE ZARAGOZA,035,TORREON,1
05,COAHUILA DE ZARAGOZA,036,VIESCA,1
